物种序号,spid,中文名,拉丁名,科中文名,科拉丁名,属中文名,属拉丁名,媒体类型,媒体序号,媒体ID,鸣声类型,作者/录制人,地点,日期,时间,备注,原始URL,本地文件,下载状态,文件大小bytes,Content-Type或错误
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,5,94,,朱弼成 ,海南吊罗山,20180521,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_05_ID94_锯腿原指树蛙_朱弼成 (5).jpg,exists,530504,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,6,95,,朱弼成 ,海南吊罗山,20160707,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (6).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_06_ID95_锯腿原指树蛙_朱弼成 (6).jpg,exists,2442839,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,7,96,,朱弼成 ,海南吊罗山,20160708,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (7).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_07_ID96_锯腿原指树蛙_朱弼成 (7).jpg,exists,3048364,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,鸣声,1,197,广告鸣叫,朱弼成,海南吊罗山,2014.6.21,18:52,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/锯腿原指树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/鸣声/鸣声_01_ID197_锯腿原指树蛙_1_朱弼成.mp3,exists,282285,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,鸣声,2,198,争斗鸣叫,朱弼成,海南吊罗山,2014.6.21,18:52,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/锯腿原指树蛙_2_朱弼成.mp3,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/鸣声/鸣声_02_ID198_锯腿原指树蛙_2_朱弼成.mp3,exists,235265,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,鸣声,3,199,组合鸣叫,朱弼成,海南吊罗山,2014.6.21,18:52,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/锯腿原指树蛙_3_朱弼成.mp3,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/鸣声/鸣声_03_ID199_锯腿原指树蛙_3_朱弼成.mp3,exists,302138,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,1,49,,朱弼成 ,海南吊罗山,20160711,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南刘树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/照片/照片_01_ID49_海南刘树蛙_朱弼成 (1).jpg,exists,3385068,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,2,50,,朱弼成 ,海南吊罗山,20190701,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南刘树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/照片/照片_02_ID50_海南刘树蛙_朱弼成 (2).jpg,exists,1950491,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,3,51,,朱弼成 ,海南吊罗山,20190701,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南刘树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/照片/照片_03_ID51_海南刘树蛙_朱弼成 (3).jpg,exists,1828861,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,4,52,,朱弼成 ,海南吊罗山,20160711,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南刘树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/照片/照片_04_ID52_海南刘树蛙_朱弼成 (4).jpg,exists,3615821,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,鸣声,1,183,广告鸣叫,朱弼成,海南吊罗山,2015.4.23,2:20,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/海南刘树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/鸣声/鸣声_01_ID183_海南刘树蛙_1_朱弼成.mp3,exists,168336,
27,957969,海南刘树蛙,Liuixalus hainanus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,鸣声,2,184,广告鸣叫,朱弼成,海南吊罗山,2015.4.22,22:09,群体鸣声,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/海南刘树蛙_2_朱弼成.mp3,NSII_无尾两栖类鸣声专题/27_海南刘树蛙_Liuixalus hainanus/鸣声/鸣声_02_ID184_海南刘树蛙_2_朱弼成.mp3,exists,412842,
28,574474,眼斑刘树蛙,Liuixalus ocellatus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,1,142,,朱弼成 ,海南吊罗山,20150509,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/眼斑刘树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/28_眼斑刘树蛙_Liuixalus ocellatus/照片/照片_01_ID142_眼斑刘树蛙_朱弼成 (1).jpg,exists,624946,
28,574474,眼斑刘树蛙,Liuixalus ocellatus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,2,143,,朱弼成 ,海南吊罗山,20150509,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/眼斑刘树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/28_眼斑刘树蛙_Liuixalus ocellatus/照片/照片_02_ID143_眼斑刘树蛙_朱弼成 (2).jpg,exists,1933193,
28,574474,眼斑刘树蛙,Liuixalus ocellatus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,照片,3,144,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/眼斑刘树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/28_眼斑刘树蛙_Liuixalus ocellatus/照片/照片_03_ID144_眼斑刘树蛙_朱弼成 (3).jpg,exists,1485369,
28,574474,眼斑刘树蛙,Liuixalus ocellatus,树蛙科,Rhacophoridae,刘树蛙属,Liuixalus,鸣声,1,217,广告鸣叫,朱弼成,海南吊罗山,2015.3.31,23:39,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/眼斑刘树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/28_眼斑刘树蛙_Liuixalus ocellatus/鸣声/鸣声_01_ID217_眼斑刘树蛙_1_朱弼成.mp3,exists,603014,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,照片,1,9,,朱弼成 ,海南吊罗山,20160711,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/背条螳臂树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/照片/照片_01_ID9_背条螳臂树蛙_朱弼成 (1).jpg,exists,1385834,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,照片,2,10,,朱弼成 ,海南吊罗山,20160711,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/背条螳臂树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/照片/照片_02_ID10_背条螳臂树蛙_朱弼成 (2).jpg,exists,2536561,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,照片,3,11,,朱弼成 ,海南吊罗山,20160708,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/背条螳臂树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/照片/照片_03_ID11_背条螳臂树蛙_朱弼成 (3).jpg,exists,3088950,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,照片,4,12,,朱弼成 ,海南吊罗山,20160712,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/背条螳臂树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/照片/照片_04_ID12_背条螳臂树蛙_朱弼成 (4).jpg,exists,1878246,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,照片,5,13,,朱弼成 ,海南吊罗山,20160707,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/背条螳臂树蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/照片/照片_05_ID13_背条螳臂树蛙_朱弼成 (5).jpg,exists,3469188,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,鸣声,1,163,,杨悦,海南陵水南喜,2017.5.9,23:01,雄性身体接触时 发出咯咯咯叫声,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/背条螳臂树蛙_1_杨悦.mp3,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/鸣声/鸣声_01_ID163_背条螳臂树蛙_1_杨悦.mp3,exists,195504,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,鸣声,2,164,广告鸣叫,杨悦,海南吊罗山,2015.8.11,23:27,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/背条螳臂树蛙_2_杨悦.mp3,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/鸣声/鸣声_02_ID164_背条螳臂树蛙_2_杨悦.mp3,exists,102508,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,鸣声,3,165,广告鸣叫,杨悦,海南乐东东方,2017.8.1,19:41,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/背条螳臂树蛙_3_杨悦.mp3,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/鸣声/鸣声_03_ID165_背条螳臂树蛙_3_杨悦.mp3,exists,163167,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,鸣声,4,166,广告鸣叫,杨悦,海南五指山水满,2017.5.19,22:05,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/背条螳臂树蛙_4_杨悦.mp3,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/鸣声/鸣声_04_ID166_背条螳臂树蛙_4_杨悦.mp3,exists,82711,
29,748780,背条螳臂树蛙,Chiromantis doriae,树蛙科,Rhacophoridae,螳臂树蛙属,Chiromantis,鸣声,5,167,广告鸣叫,朱弼成,广东湛江,2017.10.19,0:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/背条螳臂树蛙_5_朱弼成.mp3,NSII_无尾两栖类鸣声专题/29_背条螳臂树蛙_Chiromantis doriae/鸣声/鸣声_05_ID167_背条螳臂树蛙_5_朱弼成.mp3,exists,80691,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,照片,1,14,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/侧条费树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/照片/照片_01_ID14_侧条费树蛙_朱弼成 (1).jpg,exists,2054339,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,照片,2,15,,朱弼成 ,海南吊罗山,20160627,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/侧条费树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/照片/照片_02_ID15_侧条费树蛙_朱弼成 (2).jpg,exists,3185621,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,照片,3,16,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/侧条费树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/照片/照片_03_ID16_侧条费树蛙_朱弼成 (3).jpg,exists,6024625,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,照片,4,17,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/侧条费树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/照片/照片_04_ID17_侧条费树蛙_朱弼成 (4).jpg,exists,1995035,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,照片,5,18,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/侧条费树蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/照片/照片_05_ID18_侧条费树蛙_朱弼成 (5).jpg,exists,1972634,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,鸣声,1,168,广告鸣叫,朱弼成,海南吊罗山,2015.4.11,23:03,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/侧条费树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/鸣声/鸣声_01_ID168_侧条费树蛙_1_朱弼成.mp3,exists,122417,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,鸣声,2,169,广告鸣叫,杨悦,海南吊罗山,2015.4.20,20:55,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/侧条费树蛙_2_杨悦.mp3,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/鸣声/鸣声_02_ID169_侧条费树蛙_2_杨悦.mp3,exists,163112,
30,704017,侧条费树蛙,Feihyla vittata,树蛙科,Rhacophoridae,费树蛙属,Feihyla,鸣声,3,170,广告鸣叫,杨悦,海南五指山水满,2017.6.29,23:32,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/侧条费树蛙_3_杨悦.mp3,NSII_无尾两栖类鸣声专题/30_侧条费树蛙_Feihyla vittata/鸣声/鸣声_03_ID170_侧条费树蛙_3_杨悦.mp3,exists,202818,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,1,1,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_01_ID1_斑腿泛树蛙_朱弼成 (1).jpg,exists,1643051,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,2,2,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_02_ID2_斑腿泛树蛙_朱弼成 (2).jpg,exists,2037679,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,3,3,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_03_ID3_斑腿泛树蛙_朱弼成 (3).jpg,exists,2183251,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,4,4,,杨悦 ,海南吊罗山,20170804,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_04_ID4_斑腿泛树蛙_杨悦 (1).jpg,exists,1700463,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,5,5,,杨悦 ,四川峨眉山,20190520,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_05_ID5_斑腿泛树蛙_杨悦 (2).jpg,exists,2362465,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,6,6,,杨悦 ,四川峨眉山,20190630,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/斑腿泛树蛙_杨悦 (3).jpg,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/照片/照片_06_ID6_斑腿泛树蛙_杨悦 (3).jpg,exists,2297536,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,鸣声,1,160,广告鸣叫,朱弼成,海南吊罗山,2015.4.25,21:40,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/斑腿泛树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/鸣声/鸣声_01_ID160_斑腿泛树蛙_1_朱弼成.mp3,exists,360162,
31,522903,斑腿泛树蛙,Polypedates megacephalus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,鸣声,2,161,广告鸣叫,赵龙辉,四川峨眉山,2019.5.10,20:42,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/斑腿泛树蛙_2_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/31_斑腿泛树蛙_Polypedates megacephalus/鸣声/鸣声_02_ID161_斑腿泛树蛙_2_赵龙辉.mp3,exists,410026,
32,725318,无声囊泛树蛙,Polypedates mutus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,1,109,,朱弼成 ,海南吊罗山,20160707,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/无声囊泛树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/32_无声囊泛树蛙_Polypedates mutus/照片/照片_01_ID109_无声囊泛树蛙_朱弼成 (1).jpg,exists,2553288,
32,725318,无声囊泛树蛙,Polypedates mutus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,2,110,,朱弼成 ,海南吊罗山,20160707,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/无声囊泛树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/32_无声囊泛树蛙_Polypedates mutus/照片/照片_02_ID110_无声囊泛树蛙_朱弼成 (2).jpg,exists,2350106,
32,725318,无声囊泛树蛙,Polypedates mutus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,照片,3,111,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/无声囊泛树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/32_无声囊泛树蛙_Polypedates mutus/照片/照片_03_ID111_无声囊泛树蛙_朱弼成 (3).jpg,exists,2473593,
32,725318,无声囊泛树蛙,Polypedates mutus,树蛙科,Rhacophoridae,泛树蛙属,Polypedates,鸣声,1,205,广告鸣叫,朱弼成,海南吊罗山,2015.4.25,4:20,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/无声囊泛树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/32_无声囊泛树蛙_Polypedates mutus/鸣声/鸣声_01_ID205_无声囊泛树蛙_1_朱弼成.mp3,exists,305274,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,1,85,,杨悦 ,四川峨眉山,20190529,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/经甫树蛙_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/照片/照片_01_ID85_经甫树蛙_杨悦 (1).jpg,exists,2681104,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,2,86,,杨悦 ,四川峨眉山,20190517,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/经甫树蛙_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/照片/照片_02_ID86_经甫树蛙_杨悦 (2).jpg,exists,1337481,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,3,87,,杨悦 ,四川峨眉山,20190519,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/经甫树蛙_杨悦 (3).jpg,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/照片/照片_03_ID87_经甫树蛙_杨悦 (3).jpg,exists,2340179,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,4,88,,杨悦 ,四川峨眉山,20190519,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/经甫树蛙_杨悦 (4).jpg,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/照片/照片_04_ID88_经甫树蛙_杨悦 (4).jpg,exists,1836998,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,5,89,,杨悦 ,四川峨眉山,20190519,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/经甫树蛙_杨悦 (5).jpg,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/照片/照片_05_ID89_经甫树蛙_杨悦 (5).jpg,exists,1830914,
33,560141,经甫树蛙,Zhangixalus chenfui,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,鸣声,1,196,广告鸣叫,杨悦,四川峨眉山,2019.5.29,23:34,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/经甫树蛙_1_杨悦.mp3,NSII_无尾两栖类鸣声专题/33_经甫树蛙_Zhangixalus chenfui/鸣声/鸣声_01_ID196_经甫树蛙_1_杨悦.mp3,exists,572267,
34,539633,大树蛙,Zhangixalus dennysi,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,1,30,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/34_大树蛙_Zhangixalus dennysi/照片/照片_01_ID30_大树蛙_朱弼成 (1).jpg,exists,2397898,
34,539633,大树蛙,Zhangixalus dennysi,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,2,31,,朱弼成 ,海南吊罗山,20150627,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/34_大树蛙_Zhangixalus dennysi/照片/照片_02_ID31_大树蛙_朱弼成 (2).jpg,exists,4562137,
34,539633,大树蛙,Zhangixalus dennysi,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,鸣声,1,174,广告鸣叫,朱弼成,海南吊罗山,2015.4.10,21:37,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/大树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/34_大树蛙_Zhangixalus dennysi/鸣声/鸣声_01_ID174_大树蛙_1_朱弼成.mp3,exists,402449,
35,522381,宝兴树蛙,Zhangixalus dugritei,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,1,7,,邹大虎,云南,20160511,,照片来源网站：中国两栖类,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/宝兴树蛙_邹大虎 (1).jpg,NSII_无尾两栖类鸣声专题/35_宝兴树蛙_Zhangixalus dugritei/照片/照片_01_ID7_宝兴树蛙_邹大虎(1).jpg,exists,296236,
35,522381,宝兴树蛙,Zhangixalus dugritei,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,2,8,,邹大虎,云南,20160511,,照片来源网站：中国两栖类,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/宝兴树蛙_邹大虎 (2).jpg,NSII_无尾两栖类鸣声专题/35_宝兴树蛙_Zhangixalus dugritei/照片/照片_02_ID8_宝兴树蛙_邹大虎(2).jpg,exists,350626,
35,522381,宝兴树蛙,Zhangixalus dugritei,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,鸣声,1,162,广告鸣叫,赵龙辉,四川栗子坪,2016.4.15,21:16,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/宝兴树蛙_1_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/35_宝兴树蛙_Zhangixalus dugritei/鸣声/鸣声_01_ID162_宝兴树蛙_1_赵龙辉.mp3,exists,562667,
36,819697,峨眉树蛙,Zhangixalus omeimontis,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,1,39,,杨悦 ,四川峨眉山,20190518,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉树蛙_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/36_峨眉树蛙_Zhangixalus omeimontis/照片/照片_01_ID39_峨眉树蛙_杨悦 (1).jpg,exists,1804287,
36,819697,峨眉树蛙,Zhangixalus omeimontis,树蛙科,Rhacophoridae,张氏树蛙属,Zhangixalus,照片,2,40,,杨悦 ,四川峨眉山,20190909,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉树蛙_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/36_峨眉树蛙_Zhangixalus omeimontis/照片/照片_02_ID40_峨眉树蛙_杨悦 (2).jpg,exists,2316323,
